book_id,book_name,author,rating,review_count,price,description,listening_time_raw,listening_minutes,genres,primary_genre,genre_count,weighted_rating,search_text,source,title_key,author_key
1,The Girl on the Train,Paula Hawkins,4.0,70122.0,888.0,"Rachel catches the same commuter train every morning. She knows it will wait at the same signal each time, overlooking a row of back gardens. She's even started to feel like she knows the people who live in one of the houses. Jess and Jason, she calls them. Their life - as she sees it - is perfect. If only Rachel could be that happy.",10 hours and 57 minutes,657.0,"Psychological Thrillers | Crime Thrillers | Crime, Thriller & Mystery",Psychological Thrillers,3,4.003793733135097,"The Girl on the Train Paula Hawkins Psychological Thrillers Crime Thrillers Crime, Thriller & Mystery Rachel catches the same commuter train every morning. She knows it will wait at the same signal each time, overlooking a row of back gardens. She's even started to feel like she knows the people who live in one of the houses. Jess and Jason, she calls them. Their life - as she sees it - is perfect. If only Rachel could be that happy.",both datasets,the girl on the train,paula hawkins
2,The Fault in Our Stars,John Green,4.5,43869.0,670.0,"Audie Award Nominee, Best Teens Category, 2013",7 hours and 14 minutes,434.0,Contemporary Romance for Teens | Fiction on Illness & Health Problems for Teens | Fiction on Death & Dying for Teens,Contemporary Romance for Teens,3,4.499432046883426,"The Fault in Our Stars John Green Contemporary Romance for Teens Fiction on Illness & Health Problems for Teens Fiction on Death & Dying for Teens Audie Award Nominee, Best Teens Category, 2013",both datasets,the fault in our stars,john green
3,The Nightingale,Kristin Hannah,4.8,40958.0,323.0,"Two sisters. One must be brave. One should be afraid. Bravery, courage, fear, and love in a time of war. Despite their differences sisters Viann and Isabelle have always been close.",17 hours and 19 minutes,1039.0,World War II Historical Fiction | War & Military Fiction | Women's Fiction,World War II Historical Fiction,3,4.795153473973993,"The Nightingale Kristin Hannah World War II Historical Fiction War & Military Fiction Women's Fiction Two sisters. One must be brave. One should be afraid. Bravery, courage, fear, and love in a time of war. Despite their differences sisters Viann and Isabelle have always been close.",both datasets,the nightingale,kristin hannah
4,Fifty Shades of Grey: Book One of the Fifty Shades Trilogy,E. L. James,3.8,38310.0,1093.0,"Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",-1,,,,0,3.809914674042974,"Fifty Shades of Grey: Book One of the Fifty Shades Trilogy E. L. James Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",both datasets,fifty shades of grey book one of the fifty shades trilogy,e l james
5,The Martian,Andy Weir,4.7,33293.0,1171.0,"A brand-new production of Andy Weir’s modern sci-fi classic, narrated by the incomparable Wil Wheaton, and featuring bonus content from the writings of Mark Watney.",10 hours and 59 minutes,659.0,Hard Science Fiction | Adventure Science Fiction | Suspense,Hard Science Fiction,3,4.695789583124249,"The Martian Andy Weir Hard Science Fiction Adventure Science Fiction Suspense A brand-new production of Andy Weir’s modern sci-fi classic, narrated by the incomparable Wil Wheaton, and featuring bonus content from the writings of Mark Watney.",both datasets,the martian,andy weir
6,The Alchemist: A Fable About Following Your Dream,Paulo Coelho,4.6,28237.0,10378.0,"By completing your purchase you agree to Audible’s Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.",4 hours,240.0,"Metaphysical & Visionary Fiction | Literary Fiction | Crime, Thriller & Mystery",Metaphysical & Visionary Fiction,3,4.5970875338693284,"The Alchemist: A Fable About Following Your Dream Paulo Coelho Metaphysical & Visionary Fiction Literary Fiction Crime, Thriller & Mystery By completing your purchase you agree to Audible’s Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.",both datasets,the alchemist a fable about following your dream,paulo coelho
7,Me Before You,Jojo Moyes,4.6,27040.0,827.0,"Romantic, poignant and endearingly honest throughout, Me Before You is the bittersweet tale of an unusual but powerful love. Often funny, sometimes bitterly sad, it won't leave you the same person you were when you began.",16 hours and 37 minutes,997.0,Romantic Comedy | Women's Fiction | Contemporary Romance (Audible Audiobooks & Originals),Romantic Comedy,3,4.596961344925237,"Me Before You Jojo Moyes Romantic Comedy Women's Fiction Contemporary Romance (Audible Audiobooks & Originals) Romantic, poignant and endearingly honest throughout, Me Before You is the bittersweet tale of an unusual but powerful love. Often funny, sometimes bitterly sad, it won't leave you the same person you were when you began.",both datasets,me before you,jojo moyes
8,Inferno,Dan Brown,4.4,26244.0,1093.0,"Harvard symbologist Robert Langdon wakes up in Florence disoriented and confused. He doesn't remember how he got there. But in an international mystery that takes him across Europe to save the world from a terrifying fate, he must decipher codes hidden in Renaissance artworks with only a few lines from Dante's Inferno to guide him.",17 hours and 12 minutes,1032.0,"Suspense | Literature & Fiction (Audible Audiobooks & Originals) | Crime, Thriller & Mystery",Suspense,3,4.401246732371121,"Inferno Dan Brown Suspense Literature & Fiction (Audible Audiobooks & Originals) Crime, Thriller & Mystery Harvard symbologist Robert Langdon wakes up in Florence disoriented and confused. He doesn't remember how he got there. But in an international mystery that takes him across Europe to save the world from a terrifying fate, he must decipher codes hidden in Renaissance artworks with only a few lines from Dante's Inferno to guide him.",both datasets,inferno,dan brown
9,Beneath a Scarlet Sky: A Novel,Mark Sullivan,4.7,24240.0,804.0,,,,,,0,4.69425428268617,Beneath a Scarlet Sky: A Novel Mark Sullivan,catalog only,beneath a scarlet sky a novel,mark sullivan
10,Grey: Fifty Shades of Grey as told by Christian Grey,E L James,4.3,23485.0,1093.0,,,,,,0,4.303828143745826,Grey: Fifty Shades of Grey as told by Christian Grey E L James,catalog only,grey fifty shades of grey as told by christian grey,e l james
